"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Gibraltar","GIB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155815","85455","64983","71532","7991","124594","417967","962","","307553","182074","25653","246031","379343","","","","","862338","3445207","2448491","","","",
"Gambia, The","GMB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408414","104803","65725","204772","30381","5985","144688","4626","692","2036","263","766","10918","18510","","2105","25179","12721","54418","0","36973","265957","3864","",
"Guinea-Bissau","GNB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4296","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72454415","79343022","103627118","123748650","113440189","162259700","169674275","318330617","347092436","336700010","499339108","574423462","743884634","549956560","686710971","991726383","1070613132","1032319861","1184998759","922549084","1339905494","1195427347","1137094899","1227145814","1026837242","855056995","1209944931","1141459515","1189471445","1195621281","1480787449",
"Grenada","GRD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154413","20398","17333","","162774","","2302","","","667830","92713","21857","4711","1178","","","","","","","","","","","","",
"Greenland","GRL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","467591","1300906","626161","490765","603508","674906","413875","394843","1445277","4741182","396571","429482","1314442","461704","7286698","710941","329754","775427","1671548","1642148","465911","253759","12901070","1595781","3226962","897746","199043","487213","375799","","",
"Guatemala","GTM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25767627","34338000","51837521","57088171","64420678","60735811","71340784","68604102","70261307","89944075","79631810","89758143","103164427","38408706","122165458","152701972","142728242","205084955","176575043","192509821","197058734","211783122","228466451","243392972","233781908","",
"Guam","GUM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927000","907000","772233","1179180","1036501","5288117","601819","439610","150579","260532","318332","70726","16102","74105","94966","41488","119359","105393","105777","145388","248161","213126",
"High income","HIC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","665561954034","","","837513461537","970227059281","869481896558","863043977140","940445386480","1069414600166","1084685901078","1280346327163","1264498236394","1318886710836","1077478212428","1173364067024","1271800931359","1264490084967","1299204993322","1325309912537","1236982334851","1233103476365","","",
"Hong Kong SAR, China","HKG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4719403988","4603952492","4968767716","5762158099","4968315035","5377199226","4854315914","4398188601","5183241596","3716465005","2695530488","1850043538","2143638489","2512414893","1790700509","1411824772","1086000429","870281839","1105610241","805496960","841460390","599663754","467221867","390707699","421781409","141717301208","161877635731",
"Honduras","HND","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1233128","1718778","1665037","10136156","5054198","8453002","10665119","3857315","2751739","4262218","2420884","4090081","17333146","7026465","9764676","","15162483","19141806","11395287","34694652","","41817226","14098526","33022952","44135655","",
"Heavily indebted poor countries (HIPC)","HPC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208662924","96272710","90180492","119804120","263341386","307981903","","312646193","325119982","","265493791","909315216","769537065","464998488","","","288644025","","",
"Croatia","HRV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171964501","136315995","164112942","208958409","249370403","287400195","272463933","267915577","279065040","350261678","431998720","542007161","756792464","682293611","670663198","692931234","821420863","679468866","732105959","672543092","761508481","808593307","731324425","762004793","1055741297","782231223","",
"Haiti","HTI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9403400","2892751","20159068","21926051","2016328","1529422","221436","344466","1904497","1804714","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279631000","318049000","348125000","590753000","515160000","2647945032","3872353064","4837902000","6429335000","6298108000","7400656000","9653507000","14225440000","13695032000","14995080000","18271149000","20254255000","16918932000","18815936000","20649002000","15026098489","14470677145","12889370773","11789798880","12444195663","13478758793","",
"IBRD only","IBD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86946814732","105407717828","123482987974","150756711966","189907719968","181261163512","205952055290","255202186252","328838030870","393080246873","470347974411","508705407781","531814293530","496321566755","617407883400","685693144544","751108796561","827463367525","841816135364","824874341430","771754650638","754704791726","",
"IDA & IBRD total","IBT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190099941237","181435548647","206195116484","255558255663","329348766890","393653904214","471233380915","509554680811","532736400631","497232784612","618196382507","687089570644","752432523205","828597000992","842923045988","825909025485","773043645093","755969768745","",
"IDA total","IDA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70636113","87169567","139020826","","","230458607","521127796","380965611","","","","","","615726355","","","","576094676","",
"Indonesia","IDN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101180000","144306712","224574514","493821102","882872278","1375925745","1685982037","2291795910","2611199836","2256518817","2728364531","5774419213","4471258542","5158848176","4680910343","5902813446","6671058414","6034485448","5356419372","5762686044","6038545109","5742569481","5727738147","4962402547","4818332512","4980582046","4409587991","3947114863","3956863169","4531996835",
"IDA only","IDX","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238348891","","816723390","","","","","","",
"Isle of Man","IMN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402149981","512079481","497829267","604228939","615240858","695836513","959201216","1351219574","1662488967","1685896198","1414828818","1679108273","2062488338","2286511142","2353666770","2710123490","3355934439","4139238100","4876300228","5997790337","7738414135","10728448006","10086626314","12870672544","12434267043","16693424357","17315676298","13750546786","13335887306","14455947950","",
"Not classified","INX","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5277076812","6163766530","6841293794","6560803447","7187967196","7894108650","9980720568","14398170640","17371426662","20117197732","23875081160","28523395273","31475030671","34661838788","31754508355","27741124356","30424804143","32873832109","31829122545","28168568620","27795411439","24286812034","21204669588","25612420648","24247377038","23340208976","24355346269","29074250544","36441036993","25727976922","28344888837",
"Iran, Islamic Rep.","IRN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2467415","3428472","5825739","12263196","25906125","38053545","50470338","70762119","131544659","402642298","","","","584312861","652571090","","269251522","296919288","","245483065","273696394","",
"Iraq","IRQ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121000","","","","","","","",
"Iceland","ISL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50934045","7591210","12716528","1846629","3512826","4568090","31697325","34498707","43444895","44803707","36248232","41796665","32424132","27063751","37346356","47248252","67883235","202601661","308466717","774358510","415726899","245695849","141380773","156242917","103588490","93401352","118378747","110196317","135960043","87522808","67571118",
"Israel","ISR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","831381100","998352127","1111523814","1170931771","1366107121","1609097165","2008375805","2719331992","3184663984","3844892960","4259555016","4643183000","4978622000","4438381000","3762003000","4526716000","5440699000","4969659000","5594060000","3065415000","6273377000","7889756000","7978955000","8825592000","9212054000","9634614000","10241482000","11818252000","10278901000","7358944000","7866311000",
"Italy","ITA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8109122375","8972598098","11561564013","12192579390","13395858260","12745021733","14116203351","16707949675","17713247341","16118597622","17499991470","17284841625","20110754174","20567853960","20512274447","20757319636","24517923411","25300973541","25884628534","26448137309","28813005956","25027190920","26419456970","31191607345","27525718963","29711962935","30744972831","26927145887","27905531647","27787004391","",
"Jamaica","JAM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","864066","857795","511199","418125","336421","432535","508589","684967","332111","544381","253800","1015546","369660","1135623","878671","1294491","2469638","6256351","3027015","2860387","4075020","4584643","4346223","3341254","509846","2138184","2482984","",
"Jordan","JOR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","886551","7451511","11292868","4914384","7944499","48155615","30195271","","31174411","15081773","48276727","53155144","88645817","49064209","28932365","42689579","40193187","35795070","38553549","42610370","50910351","122342466","115604075","102658495","77614246","80053130","85510786","84892001","82836536","",
"Japan","JPN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60989049406","64898773641","66664122330","73205571786","78431391048","85018158604","96491960318","111839773817","101830878105","104987776060","95491507998","104650392748","128902188246","99451268662","95885434943","107083423485","126245335279","125445486494","129241175242","117857774521","119914965648","95158639780","122102186970","126477503562","123393445224","105075614374","100954836424","91513823175","92883135839","83661306984","",
"Kazakhstan","KAZ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89132343","98792008","94832113","97182719","123105702","130700","48924400","197432500","199962600","281063318","417238046","987630546","1463022217","2250589650","1800083703","2357068062","2587709497","3539236310","3069362578","3321231321","2844361044","2057663013","1771744273","",
"Kenya","KEN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12035968","7062622","7575511","9043643","15855319","18038643","21184002","21893860","20322312","11968910","12513396","17016637","35362359","22054521","16682841","31568222","40458269","82661150","70820567","86215335","99904495","","","72063129","","","","45768895","",
"Kyrgyz Republic","KGZ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13028680","30074264","","15065142","3180737","14103911","15983703","5670923","2462552","17222372","3268650","6517071","6908154","11198933","10795009","2360851","9066445","15625774","16771386","","42363668","62949719","88631056","38158418",
"Cambodia","KHM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1095933","957962","3245461","7017878","4200420","3536852","981098","1480818","3200602","8462992","4699613","5139291","6848985","15578928","30874012","60108587","39805148","","",
"Kiribati","KIR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15388","137863","492613","458632","","238384","2648","37752","23649","84544","","",
"St. Kitts and Nevis","KNA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512321","378165","21507","39203","160867","","31602","135540","45472","16010","202018","19418","193968","107898","291175","172089","6599","301723","36481","12585538","10756792","7926468","4854429","6525149","6830730","",
"Korea, Rep.","KOR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8978416050","10286594006","10936004210","12868946426","14019224634","15453309549","20181271871","29786279100","27660192582","31502015863","30934317183","41376160119","54332601071","40358480791","46935938530","57458125461","76117485438","83907322830","93351820238","101031976659","100908572021","92855647821","121478141990","122021442532","121312606727","130460427536","133447400828","126526384316","118364816867","72699710197","",
"Kuwait","KWT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9677808","17701000","14957490","5328120","15844751","10549690","130279777","8153236","6457672","6339210","6915819","33763167","1464897","1487446","1308546","1038364","1348493","","5982129","9639816","8128742","16285678","123864653","127763867","","84074873","5333902","138387434","76277114","184691159","",
"Latin America & Caribbean (excluding high income)","LAC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5648740836","7981000739","11062926057","13970222225","18501258172","23774373350","31049601095","39810277777","37591754727","36216358704","35833854847","40233284244","43660427500","47856197992","46471682448","47380559999","42010745543","49605251910","53128409676","56965996486","58542401812","61563869536","57271835597","59128569887","62743212248","",
"Lao PDR","LAO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18944616","20711937","11789240","43699300","153563462","297939232","274940688","","",
"Lebanon","LBN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14516140","13473824","11193218","11049969","14178003","15692559","16995856","26474000","34520000","35101735","37477392","55103881","86790410","278555999","49364422","39298966","41298274","38146559","30462764","32700733","38873149","",
"Liberia","LBR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383656","1247120","1232431","1904960","1463146","1421425","588858","746375","494323","3891","86598","816168","840080","817725","837429","1845756","2379675","3965900","3217174","5726448","5639453","1412203","2677940","1728467","1902487","4195717","2802779","",
"Latin America & Caribbean","LCN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19093928193","","31804292996","40777698766","38614192084","36990399283","36772619343","41356417269","45022214529","49517176958","48356786309","50115201623","44065259877","51877755723","60463291445","61183180827","","","","","","",
"Least developed countries: UN classification","LDC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","597742451","","","","","","",
"Low income","LIC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70675628","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6056445","8040201","18180762","22900854","27889491","","","","","109039078","122746599","76287148","19281819","24619542","61775100","99738087","71512094","108639372","102239678","45502785","56678418","70746485","57823960","69142802","67647675","59295119","60235929","69005957","",
"Lower middle income","LMC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35428601662","29807373606","33546373298","","","","43124605404","46992992570","","43879217303","39927136979","45664267637","59811315430","76162880633","81676001777","86986869016","90565615495","107134393744","",
"Low & middle income","LMY","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188091865030","179226439440","204118701680","252810669780","325552684365","389096806448","465950901805","503619158692","523279684038","487884496255","606905307846","670485821270","737912501728","811024066327","824692104805","","756007705290","","",
"Lesotho","LSO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","901662","1195908","1935065","327275","428589","","","","394573","1640095","2229999","139462","18372","81922","433650","716472","","1166622","",
"Late-demographic dividend","LTE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76688967443","89015783712","102867147349","123698703545","154011911023","155272952657","174409877630","219189492783","287881786837","353061914422","423508530430","458060411141","480418455693","446870183995","563940549878","629717222639","688277195549","758450163052","770074977151","762494800095","716466640409","679448703363","",
"Lithuania","LTU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4156835","","57751910","57214598","72340653","88376919","74958806","64690540","101977906","133254633","132688400","216177526","253219451","412262108","655735047","1190913025","1457224657","905311029","1190412076","1520145996","1612829473","1782051127","1900957548","1776964048","1809152266","2160520241","2386787010",
"Luxembourg","LUX","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","958730959","1076675387","1336048713","1097914462","1002393908","1063132018","1230769788","1328907021","1154345644","919140138","888274065","918468404","1106470978","895544462","714838455","648727115","673934496","774006008","739535354","",
"Latvia","LVA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35661077","39208856","45718132","60943450","41831944","39634680","41474813","44884497","51826057","79725480","131307943","159476820","243118219","336672251","407955763","337996402","396246630","560578395","675108657","925175276","1119714939","1037007093","914184672","1339781881","1637303008",
"Macao SAR, China","MAC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26307999","25870991","28881419","32416451","29870448","23081404","36917750","36645302","38956538","15233058","15966447","18387133","17235972","12237377","10953032","9961645","12397535","12671644","16862697","22922705","13198070","0","0","0","","38253","0","0","","",
"St. Martin (French part)","MAF","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52975392","45753827","13355016","8584637","9509015","448261790","604369645","537369655","439527097","572743714","681200151","696365089","708334686","830646958","859085513","771383917","664566954","897323698","860938797","889025706","949971530","869791832","538711364","591547637","651186168","",
"Monaco","MCO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000893","6405291","7136545","47926184","4186905","5192463","4683067","4779830","7690497","8315351","8785285","7801405","10460212","13904627","13236759","8118121","17430573","16874822","24709880","14300836","23886881","17928258","13784218","28666567","",
"Madagascar","MDG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3407052","821551","409633","4392321","779152","612610","1006039","664396","15508010","3829843","2093220","3242745","1675168","1638402","2355958","2738562","4491601","7238885","6830768","9359649","4714064","52026514","1681188","1638370","3961124","1139363","6314018","4754271","",
"Maldives","MDV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","142","",
"Middle East & North Africa","MEA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6726206662","7397574085","6325519655","5772535877","6908365622","8132361111","7571694250","9225059323","6302959687","9746973652","10525864345","12165410713","13203343044","13073229842","13686619155","15357863602","15359554050","14321074540","","",
"Mexico","MEX","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042212656","962212081","1189015497","3688313016","4487544984","6528622363","9352136000","11806799865","15592067852","19230095730","24059491957","31174465509","29734770059","28937633223","28725861281","31955962404","32400251888","35899472030","33482117138","33387187129","31183608848","37657285550","40795383584","44021894972","45418666690","49402709617","45780911356","46809600476","50434980272","58034417808",
"Marshall Islands","MHL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188013434869","179195837681","204048026052","252750472165","325467698445","388973426090","465619466657","503422131497","523032236372","487666292661","606791815879","670133433586","737488328032","810777173508","824459969261","808743910100","755853689470","739179414452","",
"North Macedonia","MKD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14039453","22603130","11640510","18115914","18349952","6962416","11410012","8847315","10828902","13164212","14995706","15849651","18539167","21225703","","40375847","77129177","123491689","112135680","117881377","122954582","110003537","77379012","159564433","213401427",
"Mali","MLI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172935","136329","369300","905489","1252606","3181124","3250493","1306391","2081143","2361153","2625440","3650261","1540876","","1703594","5021628","2187956","","","","7294354","2164478","",
"Malta","MLT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446258221","576146723","764480970","631416874","844859686","1073654363","904233910","789988653","1002197701","1066056864","1556289973","1043541267","1028337770","1241711010","1380153285","1156793536","1511533485","1474591983","1340676895","1005297003","1182615533","1309410485","1265236319","1011832290","849241705","629779854","578385642","","",
"Myanmar","MMR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34340","","","","","","","","","","","","","","","","","","41739","3740373","15424968","5881766","15332214","10501158","255291456","285944561","",
"Middle East & North Africa (excluding high income)","MNA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","803344211","763155431","914815394","1067658103","1260027410","1307273780","1932479554","1572458030","1684175978","1385749916","2633573104","2542669253","","2031128487","2173809519","","","","",
"Montenegro","MNE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3502499","2925094","2586252","12154429","5311185","4085156","8705682","4774385","7721070","6492297","2778804","3063251","",
"Mongolia","MNG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","483565","1910908","772034","2769190","559551","128944","640471","370436","240779","93905","2653416","6852798","","","","","","22066017","33611478","3051815","35160185","3491345","",
"Northern Mariana Islands","MNP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189000","886000","2229000","2959146","","599921","2189175","945728","1885932","6547177","8240764","9496128","2751450","14912437","6110726","23755399","549792","71194000","104739005","80780608","43938980","31240449","11733207","32059254","27200460",
"Mauritania","MRT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","",
"Mauritius","MUS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4508682","4048214","4032847","4957310","8699983","10396802","6806599","8755237","14932993","13465787","12665050","14037915","29382285","31477746","61587899","16148071","360658605","113631176","99614971","21066982","6195501","9742400","10600841","6228178","276502","673785","680372","26573496","",
"Malawi","MWI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18212","28293","","","1046539","479984","363503","375432","130741","301727","558734","1279615","71358","210260","676469","2495571","1554722","1250224","1656918","2857374","1231423","4047462","1316458","5416216","6096774","3577452","26831830","8133024","",
"Malaysia","MYS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3732510571","4676491292","6050305410","7951230303","10219630229","13495282897","19166912147","25408874429","26330796170","29501429556","31661692698","39994086879","47025952935","40927407517","42253911181","47074778795","53268141268","57700357985","63493770185","65223947548","42971572907","50971808371","59331817835","61126964506","61228924357","60378253483","63376041042","57257697127","55588250783","41172608986","",
"North America","NAC","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85111715516","99639171301","109611305673","116483599779","117489650145","129706353968","144497328076","157864032140","184388633981","193806913929","205224551881","227582463201","200011428844","184528341053","184213642093","160906808369","170787177652","245760995946","244426010719","247795848907","155616891926","169896130521","170655606604","177418712699","177559141023","182195262409","180664649579","177484392886","134341551053","",
"Namibia","NAM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13117594","5830541","8362536","13583983","66193658","161953227","100684073","81971007","19149165","38757633","29720410","42274443","106847183","44037568","83161368","5756165","23950575","14734532","",
"New Caledonia","NCL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4112969","2287605","2488594","1942837","3797641","14607809","3830734","10323896","5512105","4620253","114918541","6153149","160019578","84304913","96524897","136661132","36492164","","","",
